Sample,patientID,SOX9,FOXM1
BRCA,TCGA-AC-A4ZE-01A,134.302,27.93
BRCA,TCGA-A8-A0A2-01A,352.847,12.856
BRCA,TCGA-PE-A5DE-01A,126.367,17.094
BRCA,TCGA-GM-A2DC-01A,169.722,1.868
BRCA,TCGA-AC-A3QQ-01A,97.195,6.548
BRCA,TCGA-A2-A0CW-01A,215.51,67.085
BRCA,TCGA-AN-A0FJ-01A,293.226,76.89
BRCA,TCGA-A7-A26F-01A,65.987,4.047
BRCA,TCGA-D8-A1JG-01B,106.583,34.946
BRCA,TCGA-LL-A6FP-01A,101.899,2.619
BRCA,TCGA-E2-A15T-01A,196.58,35.561
BRCA,TCGA-A7-A0D9-01A,191.105,6.322
BRCA,TCGA-AO-A1KO-01A,76.641,2.092
BRCA,TCGA-AQ-A7U7-01A,120.006,16.025
BRCA,TCGA-A1-A0SB-01A,94.012,10.45
BRCA,TCGA-A2-A0CO-01A,100.786,4.894
BRCA,TCGA-D8-A1XB-01A,203.521,16.934
BRCA,TCGA-A2-A0ES-01A,175.904,5.431
BRCA,TCGA-D8-A1XF-01A,89.725,68.795
BRCA,TCGA-A1-A0SF-01A,252.244,13.451
BRCA,TCGA-E2-A1B4-01A,124.862,2.782
BRCA,TCGA-E9-A1NG-01A,96.559,9.989
BRCA,TCGA-D8-A73X-01A,218.337,7.292
BRCA,TCGA-AO-A12D-01A,104.039,13.076
BRCA,TCGA-BH-A0B1-01A,620.823,27.597
BRCA,TCGA-A8-A09E-01A,288.159,27.496
BRCA,TCGA-C8-A26W-01A,317.983,42.444
BRCA,TCGA-A2-A0YF-01A,114.728,19.998
BRCA,TCGA-E2-A14O-01A,208.096,26.818
BRCA,TCGA-BH-A0C1-01B,192.091,26.776
BRCA,TCGA-B6-A0WT-01A,176.999,21.51
BRCA,TCGA-EW-A1J6-01A,529.705,11.365
BRCA,TCGA-A7-A26J-01B,87.597,19.425
BRCA,TCGA-A2-A04N-01A,297.162,8.437
BRCA,TCGA-AR-A24S-01A,311.967,33.266
BRCA,TCGA-D8-A1JF-01A,80.89,20.704
BRCA,TCGA-OL-A5RZ-01A,470.403,45.7
BRCA,TCGA-AC-A2FK-01A,131.248,2.518
BRCA,TCGA-E2-A109-01A,146.523,49.449
BRCA,TCGA-AQ-A54N-01A,283.512,8.785
BRCA,TCGA-D8-A141-01A,162.562,10.879
BRCA,TCGA-A7-A0DB-01A,186.489,7.837
BRCA,TCGA-EW-A1P4-01A,110.344,104.3
BRCA,TCGA-A7-A13G-01B,115.851,21.756
BRCA,TCGA-AR-A1AU-01A,203.601,26.917
BRCA,TCGA-AC-A2QJ-01A,45.489,4.213
BRCA,TCGA-AC-A3TN-01A,125.815,4.186
BRCA,TCGA-A7-A4SB-01A,191.81,29.559
BRCA,TCGA-B6-A0IO-01A,241.38,22.712
BRCA,TCGA-B6-A0IJ-01A,241.893,134.813
BRCA,TCGA-C8-A12N-01A,165.15,6.014
BRCA,TCGA-A2-A1G1-01A,363.996,128.202
BRCA,TCGA-E9-A24A-01A,118.625,10.516
BRCA,TCGA-AO-A03R-01A,241.92,32.902
BRCA,TCGA-E9-A3Q9-01A,53.436,1.524
BRCA,TCGA-AC-A3YJ-01A,192.434,5.886
BRCA,TCGA-AC-A23H-01A,219.21,25.255
BRCA,TCGA-C8-A12Q-01A,111.203,22.49
BRCA,TCGA-AC-A6NO-01A,151.062,18.869
BRCA,TCGA-LL-A50Y-01A,103.122,5.955
BRCA,TCGA-D8-A27V-01A,278.422,7.702
BRCA,TCGA-E2-A105-01A,255.432,25.477
BRCA,TCGA-B6-A400-01A,128.085,76.804
BRCA,TCGA-BH-A0HK-01A,153.215,13.57
BRCA,TCGA-AC-A3OD-01A,139.284,16.079
BRCA,TCGA-BH-A18R-01A,204.411,108.5
BRCA,TCGA-A2-A0T5-01A,141.442,13.956
BRCA,TCGA-A8-A07Z-01A,190.987,33.167
BRCA,TCGA-E2-A14X-01A,303.139,24.887
BRCA,TCGA-BH-A0B8-01A,194.808,26.135
BRCA,TCGA-C8-A1HG-01A,704.621,33.969
BRCA,TCGA-A2-A0EO-01A,236.707,7.639
BRCA,TCGA-E2-A1B6-01A,194.367,39.149
BRCA,TCGA-AO-A03L-01A,291.02,25.328
BRCA,TCGA-AO-A03N-01B,309.287,16.935
BRCA,TCGA-E9-A6HE-01A,186.872,10.428
BRCA,TCGA-BH-A1F0-01A,300.35,29.773
BRCA,TCGA-B6-A3ZX-01A,95.453,62.233
BRCA,TCGA-AC-A3QQ-01B,131.516,23.414
BRCA,TCGA-EW-A1PH-01A,287.855,30.047
