,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,symbol
ENSG00000173207,215.3360573,4.055199924,0.427036194,9.496150388,2.18E-21,2.54E-22,CKS1B
ENSG00000164045,79.05990022,5.349333441,0.563845961,9.487224893,2.37E-21,3.41E-22,CDC25A
ENSG00000089685,327.408405,3.844247178,0.405439161,9.481686884,2.50E-21,3.65E-22,BIRC5
ENSG00000168496,358.6149979,3.157350289,0.333522181,9.46668757,2.89E-21,3.98E-22,FEN1
ENSG00000065618,1265.684936,8.379246401,0.886797807,9.448880386,3.42E-21,6.51E-22,COL17A1
ENSG00000100162,75.01740742,5.139119027,0.54401021,9.446732681,3.50E-21,1.12E-21,CENPM
ENSG00000164877,214.2915322,4.284784323,0.455879347,9.398943712,5.51E-21,1.20E-21,MICALL2
ENSG00000094804,159.5680749,3.742240708,0.39820476,9.397779951,5.57E-21,1.37E-21,CDC6
ENSG00000166508,1701.377733,1.673317343,0.178224921,9.388795538,6.07E-21,1.37E-21,MCM7
ENSG00000005189,189.9682166,5.430499643,0.579638633,9.368767601,7.34E-21,1.79E-21,REXO5
ENSG00000183856,90.81671232,7.775283557,0.83435378,9.318928904,1.18E-20,1.87E-21,IQGAP3
ENSG00000121211,86.5390978,5.681267675,0.609717783,9.317864486,1.19E-20,2.52E-21,MND1
ENSG00000008438,3094.217132,8.623596053,0.926594786,9.306760825,1.32E-20,2.57E-21,PGLYRP1
ENSG00000101412,297.2463639,3.269600065,0.351946008,9.290061521,1.54E-20,3.10E-21,E2F1
ENSG00000134690,140.4448491,4.305583059,0.464843728,9.262431217,2.00E-20,3.11E-21,CDCA8
ENSG00000118113,3007.820249,6.400546243,0.691500209,9.256029372,2.12E-20,3.40E-21,MMP8
ENSG00000186998,87.91263258,6.258370215,0.676114096,9.256381802,2.11E-20,3.40E-21,EMID1
ENSG00000011426,158.8878861,4.316500272,0.467432677,9.234485477,2.60E-20,3.79E-21,ANLN
ENSG00000204936,2251.463867,8.73241599,0.94580106,9.23282534,2.64E-20,4.14E-21,CD177
ENSG00000167747,241.125041,3.697215618,0.4006486,9.228075724,2.76E-20,4.96E-21,C19orf48
ENSG00000090889,198.7583514,4.996488823,0.542975615,9.202050113,3.51E-20,7.11E-21,KIF4A
ENSG00000129951,588.0346383,9.224663269,1.007564037,9.155411397,5.42E-20,7.29E-21,PLPPR3
ENSG00000186652,4203.349915,10.73138886,1.173966274,9.141138979,6.18E-20,7.85E-21,PRG2
ENSG00000135446,339.4563576,2.840509052,0.311215367,9.127149076,7.03E-20,8.88E-21,CDK4
ENSG00000116717,872.7408036,3.163875772,0.347003627,9.117702308,7.67E-20,9.43E-21,GADD45A
ENSG00000127423,50.58001174,5.92119532,0.64936806,9.118396311,7.62E-20,1.48E-20,AUNIP
ENSG00000101057,710.5649391,4.427316851,0.485685546,9.115603469,7.82E-20,1.85E-20,MYBL2
ENSG00000100526,192.3396394,5.122172286,0.562885481,9.099847936,9.05E-20,2.10E-20,CDKN3
ENSG00000196465,200.4938058,4.038168764,0.445066503,9.073180599,1.16E-19,2.29E-20,MYL6B
ENSG00000198826,281.7287489,3.49127132,0.385651447,9.052919029,1.39E-19,2.78E-20,ARHGAP11A
