"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000162572",233.02248526663,0.29247920270273,0.0861015698281162,3.39690906085224,0.00068151611516174,0.00171311335377524
"ENSG00000162576",6874.52530901653,0.467472625624767,0.0889474931927177,5.25560202817543,1.47541030259236e-07,6.65609225870672e-07
"ENSG00000162585",1451.64653526652,0.0594867597429656,0.0460045161043245,1.29306348116058,0.195989104289116,0.265549941598563
"ENSG00000162591",1408.20007040514,-0.0191747190302909,0.0822951075638352,-0.232999501403135,0.815761792937571,0.857289895940073
"ENSG00000162600",339.80576275841,0.218503114792274,0.076179048742139,2.86828358190574,0.00412705437842378,0.00881627097890374
"ENSG00000162601",543.330024924035,-0.227103856978179,0.0641958815468295,-3.53767019793181,0.000403673928240125,0.00106141308343605
"ENSG00000162604",2414.63864387953,-0.111385576854005,0.0269530731949921,-4.13257427263251,3.58722793639324e-05,0.00011306228701754
"ENSG00000162607",431.27944823981,-0.0480541797155893,0.0535965130941896,-0.896591530705361,0.369936918988245,0.452907797672868
"ENSG00000162613",6720.71969214231,0.144037410365633,0.0486022466049999,2.96359572709167,0.00304067469938062,0.00669397734837686
"ENSG00000162614",1065.31581717264,-0.103723994368803,0.0998948076924413,-1.03833218927806,0.299115427563203,0.379151291596869
"ENSG00000162616",584.331426766568,-0.152007863978888,0.121667213629458,-1.24937408726917,0.21152828156254,0.282678703542667
"ENSG00000162618",641.76631530717,0.358598684515797,0.100875776176704,3.5548542782723,0.000378188628320698,0.000998689731074419
"ENSG00000162623",186.726735692884,0.19181881346484,0.0715759350092507,2.6799344422123,0.0073636580146947,0.014874373325762
"ENSG00000162627",112.261900888142,0.232756459946404,0.0843251468969223,2.76022596475191,0.00577613942517396,0.0119680393088786
"ENSG00000162631",180.921763684556,-1.03346953047293,0.122646415151796,-8.42641449563641,3.56418039400712e-17,4.71729758030354e-16
"ENSG00000162639",303.785761012329,-0.104560077457883,0.058988758625594,-1.77254242832154,0.0763045588142456,0.117559776540953
"ENSG00000162642",560.593065993251,-0.299973374061943,0.0524748054921971,-5.71652188604203,1.08726472296486e-08,5.72449549698549e-08
"ENSG00000162645",939.209089916398,-0.00133360810791406,0.096098828658607,-0.0138774647571588,0.988927740518373,0.991626042675313
