,ID,adj.P.Val,P.Value,logFC,Gene.symbol
6409,ILMN_2358919,0.00118,0.000155,1.1094192,TYMP
6410,ILMN_1704014,0.00118,0.000155,1.0277758,E2F2
6407,ILMN_2181892,0.00118,0.000155,-2.183127,AOAH
6428,ILMN_1796589,0.0012,0.000158,-1.0518003,OLIG1
6445,ILMN_1659189,0.00121,0.00016,1.364207,DTWD2
6442,ILMN_1660193,0.00121,0.00016,-1.1059181,FCGR2A
6448,ILMN_1749081,0.00121,0.00016,-1.2839935,PYCARD
6462,ILMN_1746408,0.00122,0.000162,1.1674206,LST1
6461,ILMN_1801584,0.00122,0.000162,-1.5555286,CST7
6464,ILMN_2162860,0.00122,0.000162,-1.1526705,CTSD
6485,ILMN_1741917,0.00124,0.000165,1.7967179,PHGDH
6491,ILMN_1795341,0.00124,0.000165,-1.084559,SCRN1
6508,ILMN_1675156,0.00125,0.000167,1.105565,CD79B
6528,ILMN_1780861,0.00126,0.000169,1.4279708,KEL
6530,ILMN_1730054,0.00126,0.000169,-1.4902729,CD151
6535,ILMN_1669479,0.00126,0.000169,-1.5394685,UNG
6540,ILMN_1697639,0.00127,0.00017,-1.1052316,CYFIP2
6559,ILMN_2325506,0.00128,0.000173,-1.1541877,CPED1
6593,ILMN_1668063,0.00131,0.000177,3.2666914,IFI30
6613,ILMN_2412384,0.00133,0.000181,-1.2615323,KLF10
6615,ILMN_1750678,0.00133,0.000181,-1.3171251,FCGR1A
6634,ILMN_1740512,0.00135,0.000183,-1.5546275,GP9
6639,ILMN_2392189,0.00135,0.000183,-1.6276046,SLC30A1
6648,ILMN_1688404,0.00135,0.000184,-1.059592,LILRA3
6662,ILMN_1810228,0.00136,0.000186,-1.0928127,CRIP2
6682,ILMN_1740572,0.00138,0.000189,1.4382875,TNFRSF1B
6707,ILMN_2326512,0.00139,0.000192,1.4698647,MSRB1
6733,ILMN_1791147,0.00142,0.000196,1.0452209,MPO
6745,ILMN_2367418,0.00142,0.000197,1.825615,NLRP3
6787,ILMN_1746565,0.00145,0.000202,1.2611515,CRYGD
6785,ILMN_1785330,0.00145,0.000202,-1.4611872,ZNF827
6793,ILMN_2221014,0.00146,0.000203,1.0348178,CTSG
6807,ILMN_1718629,0.00147,0.000205,-1.6246237,NCF2
6821,ILMN_1668629,0.00148,0.000207,1.2190224,C15orf39
6823,ILMN_1730032,0.00148,0.000207,1.0488565,FOXP1-IT1
6850,ILMN_1745103,0.00149,0.00021,-1.1517605,GADD45B
6863,ILMN_1682993,0.0015,0.000211,1.4017678,SLC18B1
6866,ILMN_2307450,0.0015,0.000211,-1.0833547,TSPAN13
6879,ILMN_1798654,0.00151,0.000213,-1.4683635,HIST1H2BG
6943,ILMN_1651496,0.00155,0.00022,1.3598653,IFITM1
6960,ILMN_2338452,0.00156,0.000222,3.0225544,MAP7
6964,ILMN_1733579,0.00156,0.000223,1.3199163,CCR7
6991,ILMN_1655635,0.00158,0.000226,-1.0505305,CDKN2C
6992,ILMN_1773760,0.00158,0.000226,-1.2752017,ARHGAP27
6998,ILMN_1713934,0.00158,0.000227,1.081163,LAPTM4B
7011,ILMN_1792972,0.00159,0.000229,-1.0155977,HOMER3
7061,ILMN_1810915,0.00164,0.000237,-1.1733791,MECOM
7134,ILMN_2112357,0.0017,0.000249,1.4083153,CDCA7
7137,ILMN_1717639,0.0017,0.000249,-1.1784197,HLX
7147,ILMN_1751034,0.00171,0.000251,1.1866219,MAMDC2
7179,ILMN_1689968,0.00174,0.000255,1.2223463,XK
7199,ILMN_1729051,0.00175,0.000258,-1.0526727,SLC15A3
7220,ILMN_1679797,0.00176,0.000261,-1.1049271,PLEC
7254,ILMN_1803788,0.0018,0.000267,1.9741124,FOSB
7263,ILMN_2404154,0.0018,0.000268,2.7884667,RHBDF2
7276,ILMN_2326509,0.00181,0.000271,1.3553758,VCAN
7286,ILMN_1657796,0.00182,0.000272,-1.4421894,HMGA1
7302,ILMN_2382505,0.00184,0.000275,1.0228554,MAL
7325,ILMN_1810420,0.00186,0.000279,1.829643,FAM89A
7337,ILMN_2146761,0.00188,0.000283,-1.3443124,C3AR1
7351,ILMN_1680937,0.0019,0.000286,1.0193157,CD14
7355,ILMN_1800634,0.0019,0.000286,-1.0497966,GSTM2
7368,ILMN_2193233,0.00191,0.000288,-1.7802462,GPBAR1
7380,ILMN_1768505,0.00192,0.00029,1.6292035,PFKFB4
7404,ILMN_1723480,0.00196,0.000297,1.3533316,PILRA
7407,ILMN_1703692,0.00196,0.000298,-1.0916603,GSTM1
7413,ILMN_2224486,0.00196,0.000299,-1.4509556,CD7
